bin,white,cyan,magenta,yellow,red,green,blue
380,1.0000,0.9710,1.0000,0.0001,0.1012,0.0000,1.0000
385,1.0000,0.9710,1.0000,0.0001,0.1012,0.0000,1.0000
390,1.0000,0.9710,1.0000,0.0001,0.1012,0.0000,1.0000
395,1.0000,0.9710,1.0000,0.0001,0.1012,0.0000,1.0000
400,1.0000,0.9710,1.0000,0.0001,0.1012,0.0000,1.0000
405,1.0000,0.9710,1.0000,0.0001,0.1012,0.0000,1.0000
410,1.0000,0.9710,1.0000,0.0001,0.1012,0.0000,1.0000
415,1.0000,0.9426,1.0000,0.0000,0.0515,0.0000,1.0000
420,1.0000,0.9426,1.0000,0.0000,0.0515,0.0000,1.0000
425,1.0000,0.9426,1.0000,0.0000,0.0515,0.0000,1.0000
430,1.0000,0.9426,1.0000,0.0000,0.0515,0.0000,1.0000
435,1.0000,0.9426,1.0000,0.0000,0.0515,0.0000,1.0000
440,1.0000,0.9426,1.0000,0.0000,0.0515,0.0000,1.0000
445,1.0000,0.9426,1.0000,0.0000,0.0515,0.0000,1.0000
450,0.9999,1.0007,0.9685,0.1088,0.0000,0.0273,0.8916
455,0.9999,1.0007,0.9685,0.1088,0.0000,0.0273,0.8916
460,0.9999,1.0007,0.9685,0.1088,0.0000,0.0273,0.8916
465,0.9999,1.0007,0.9685,0.1088,0.0000,0.0273,0.8916
470,0.9999,1.0007,0.9685,0.1088,0.0000,0.0273,0.8916
475,0.9999,1.0007,0.9685,0.1088,0.0000,0.0273,0.8916
480,0.9999,1.0007,0.9685,0.1088,0.0000,0.0273,0.8916
485,0.9993,1.0007,0.2229,0.6651,0.0000,0.7937,0.3323
490,0.9993,1.0007,0.2229,0.6651,0.0000,0.7937,0.3323
495,0.9993,1.0007,0.2229,0.6651,0.0000,0.7937,0.3323
500,0.9993,1.0007,0.2229,0.6651,0.0000,0.7937,0.3323
505,0.9993,1.0007,0.2229,0.6651,0.0000,0.7937,0.3323
510,0.9993,1.0007,0.2229,0.6651,0.0000,0.7937,0.3323
515,0.9993,1.0007,0.2229,0.6651,0.0000,0.7937,0.3323
520,0.9992,1.0007,0.0000,1.0000,0.0000,1.0000,0.0000
525,0.9992,1.0007,0.0000,1.0000,0.0000,1.0000,0.0000
530,0.9992,1.0007,0.0000,1.0000,0.0000,1.0000,0.0000
535,0.9992,1.0007,0.0000,1.0000,0.0000,1.0000,0.0000
540,0.9992,1.0007,0.0000,1.0000,0.0000,1.0000,0.0000
545,0.9992,1.0007,0.0000,1.0000,0.0000,1.0000,0.0000
550,0.9998,1.0007,0.0458,1.0000,0.0000,0.9418,0.0000
555,0.9998,1.0007,0.0458,1.0000,0.0000,0.9418,0.0000
560,0.9998,1.0007,0.0458,1.0000,0.0000,0.9418,0.0000
565,0.9998,1.0007,0.0458,1.0000,0.0000,0.9418,0.0000
570,0.9998,1.0007,0.0458,1.0000,0.0000,0.9418,0.0000
575,0.9998,1.0007,0.0458,1.0000,0.0000,0.9418,0.0000
580,0.9998,1.0007,0.0458,1.0000,0.0000,0.9418,0.0000
585,1.0000,0.1564,0.8369,0.9996,0.8325,0.1719,0.0003
590,1.0000,0.1564,0.8369,0.9996,0.8325,0.1719,0.0003
595,1.0000,0.1564,0.8369,0.9996,0.8325,0.1719,0.0003
600,1.0000,0.1564,0.8369,0.9996,0.8325,0.1719,0.0003
605,1.0000,0.1564,0.8369,0.9996,0.8325,0.1719,0.0003
610,1.0000,0.1564,0.8369,0.9996,0.8325,0.1719,0.0003
615,1.0000,0.1564,0.8369,0.9996,0.8325,0.1719,0.0003
620,1.0000,0.0000,1.0000,0.9586,1.0149,0.0000,0.0369
625,1.0000,0.0000,1.0000,0.9586,1.0149,0.0000,0.0369
630,1.0000,0.0000,1.0000,0.9586,1.0149,0.0000,0.0369
635,1.0000,0.0000,1.0000,0.9586,1.0149,0.0000,0.0369
640,1.0000,0.0000,1.0000,0.9586,1.0149,0.0000,0.0369
645,1.0000,0.0000,1.0000,0.9586,1.0149,0.0000,0.0369
650,1.0000,0.0000,1.0000,0.9586,1.0149,0.0000,0.0369
655,1.0000,0.0000,1.0000,0.9685,1.0149,0.0000,0.0483
660,1.0000,0.0000,1.0000,0.9685,1.0149,0.0000,0.0483
665,1.0000,0.0000,1.0000,0.9685,1.0149,0.0000,0.0483
670,1.0000,0.0000,1.0000,0.9685,1.0149,0.0000,0.0483
675,1.0000,0.0000,1.0000,0.9685,1.0149,0.0000,0.0483
680,1.0000,0.0000,1.0000,0.9685,1.0149,0.0000,0.0483
685,1.0000,0.0000,1.0000,0.9685,1.0149,0.0000,0.0483
690,1.0000,0.0000,0.9959,0.9840,1.0149,0.0025,0.0496
695,1.0000,0.0000,0.9959,0.9840,1.0149,0.0025,0.0496
700,1.0000,0.0000,0.9959,0.9840,1.0149,0.0025,0.0496
705,1.0000,0.0000,0.9959,0.9840,1.0149,0.0025,0.0496
710,1.0000,0.0000,0.9959,0.9840,1.0149,0.0025,0.0496
715,1.0000,0.0000,0.9959,0.9840,1.0149,0.0025,0.0496
720,1.0000,0.0000,0.9959,0.9840,1.0149,0.0025,0.0496
