Wavelength,Power
380,0.1012
385,0.1012
390,0.1012
395,0.1012
400,0.1012
405,0.1012
410,0.1012
415,0.0515
420,0.0515
425,0.0515
430,0.0515
435,0.0515
440,0.0515
445,0.0515
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0.8325
590,0.8325
595,0.8325
600,0.8325
605,0.8325
610,0.8325
615,0.8325
620,1.0149
625,1.0149
630,1.0149
635,1.0149
640,1.0149
645,1.0149
650,1.0149
655,1.0149
660,1.0149
665,1.0149
670,1.0149
675,1.0149
680,1.0149
685,1.0149
690,1.0149
695,1.0149
700,1.0149
705,1.0149
710,1.0149
715,1.0149
720,1.0149
